raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
114.5838256,21.6046889,0.009,0.011,19.182,0.006,18.647,0.003,18.451,0.01,18.398,0.006
114.5839175,21.6312854,0.003,0.006,18.971,0.005,18.286,0.003,18.03,0.006,17.93,0.009
114.583986,21.6713533,0.008,0.005,21.958,0.079,20.883,0.029,19.992,0.023,19.599,0.017
114.5840176,21.8859687,0.021,0.005,20.839,0.019,20.561,0.021,20.502,0.026,20.314,0.061
114.5840487,21.6035716,0.006,0.01,18.629,0.007,18.197,0.003,18.046,0.003,17.998,0.000539
114.584099,21.5877763,0.007,0.007,14.7,0.005,14.474,0.002,14.43,0.005,14.459,0.002
114.5841966,21.5111115,0.003,0.01,16.963,0.004,16.617,0.003,16.507,0.003,16.484,0.007
114.5842322,21.7698739,0.005,0.0009,16.218,0.002,15.955,0.002,15.872,0.002,15.878,0.002
114.5843314,21.4745157,0.025,0.005,18.88,0.008,17.654,0.006,16.89,0.004,16.572,0.003
114.5843495,21.4061241,0.005,0.015,17.682,0.005,17.288,0.003,17.134,0.003,17.095,0.004
114.5843524,21.4350321,0.013,0.011,21.594,0.053,20.557,0.031,19.855,0.028,19.497,0.032
114.5843659,21.5300718,0.013,0.013,21.949,0.033,20.851,0.033,20.129,0.02,19.828,0.046
114.5844589,21.5451936,0.007,0.001,16.033,0.004,15.603,0.002,15.458,0.002,15.406,0.002
114.5844781,21.6974092,0.003,0.001,17.27,0.008,16.878,0.002,16.746,0.002,16.715,0.002
114.584703,21.3258668,0.003,0.003,15.57,0.002,15.209,0.003,15.07,0.000285,15.034,0.002
114.5847139,21.5903914,0.013,0.024,20.824,0.042,19.669,0.015,19.162,0.011,18.953,0.036
114.5848845,21.8832271,0.004,0.007,19.845,0.012,19.108,0.007,18.84,0.01,18.67,0.014
114.5849294,21.567086,0.003,0.004,14.744,0.003,14.526,0.002,14.482,0.003,14.521,0.004
114.5849382,21.6484807,0.006,0.005,15.446,0.003,15.236,0.001,15.197,0.001,15.217,0.005
114.5850626,21.5686968,0.006,0.008,18.654,0.007,18.006,0.005,17.74,0.005,17.622,0.007
114.5852051,21.3307663,0.018,0.008,19.563,0.007,19.286,0.006,19.169,0.02,19.191,0.015
114.5853709,21.6063142,0.016,0.007,18.046,0.005,17.543,0.003,17.361,0.005,17.308,0.003
114.5854605,21.323764,0.008,0.006,22.192,0.13,20.752,0.029,18.906,0.088,18.164,0.009
114.5854954,21.6245901,0.003,0.006,18.072,0.003,17.565,0.004,17.38,0.004,17.3,0.005
114.585526,21.7161387,0.031,0.03,22.136,0.399,21.835,0.06,21.605,0.063,21.125,0.134
114.5855734,21.5612802,0.005,0.005,19.218,0.01,18.282,0.004,17.871,0.005,17.683,0.01
114.5856193,21.3187026,0.018,0.017,21.834,0.082,21.161,0.015,21.016,0.127,20.763,0.124
114.5856605,21.6598031,0.03,0.02,21.536,0.05,21.004,0.029,20.845,0.027,20.635,0.08
114.5857889,21.7282765,0.026,0.005,19.174,0.01,18.431,0.009,18.158,0.005,18.049,0.012
114.5857906,21.5784116,0.007,0.001,19.659,0.021,18.652,0.017,18.174,0.014,17.921,0.027
114.5858008,21.6578018,0.02,0.015,20.798,0.032,20.25,0.013,20.136,0.021,20.044,0.025
114.5858173,21.5320577,0.009,0.005,21.805,0.028,20.585,0.016,19.183,0.011,18.546,0.018
114.5859166,21.5871544,0.011,0.002,18.561,0.019,17.938,0.004,17.721,0.008,17.648,0.01
114.5860037,21.4851883,0.007,0.002,14.837,0.007,14.643,0.001,14.616,0.003,14.634,0.002
114.5861077,21.6069394,0.01,0.012,21.029,0.057,19.725,0.013,19.229,0.014,19.034,0.028
114.5862308,21.6898594,0.002,0.003,16.295,0.004,16.018,0.002,15.931,0.002,15.932,0.003
114.5862468,21.381928,0.016,0.015,21.778,0.092,21.369,0.022,20.434,0.027,20.084,0.033
114.5862911,21.548921,0.035,0.005,21.735,0.114,20.636,0.041,19.713,0.019,19.332,0.014
114.5864389,21.4267646,0.004,0.002,20.937,0.028,19.747,0.011,19.013,0.013,18.693,0.017
114.5864404,21.8502444,0.005,0.007,17.013,0.003,16.736,0.003,16.653,0.002,16.655,0.002
114.5865393,21.6792509,0.009,0.008,19.519,0.01,18.617,0.006,18.25,0.005,18.093,0.006
114.5865795,21.4665681,0.001,0.007,15.536,0.007,15.224,0.002,15.128,0.003,15.113,0.003
114.5866219,21.4798871,0.027,0.024,21.562,0.121,20.444,0.084,19.579,0.068,19.607,0.044
114.5866874,21.6396551,0.008,0.005,19.626,0.013,18.766,0.007,18.441,0.006,18.296,0.012
114.586755,21.5773406,0.005,0.003,15.759,0.003,15.53,0.004,15.489,0.003,15.505,0.003
114.5868014,21.6754517,0.016,0.016,22.225,0.174,21.331,0.035,20.534,0.03,20.163,0.049
114.5869149,21.553318,0.004,0.002,14.86,0.002,14.658,0,14.628,0.003,14.659,0.003
114.5870052,21.5979947,0.02,0.02,21.804,0.261,21.203,0.053,20.436,0.023,20.072,0.035
114.587053,21.2865739,0.005,0.003,18.508,0.006,17.948,0.003,17.717,0.004,17.617,0.01
114.5870693,21.6204361,0.004,0.012,20.795,0.02,19.561,0.013,18.85,0.011,18.529,0.014
114.5870775,21.8830744,0.002,0.002,19.207,0.008,18.407,0.002,18.054,0.005,17.905,0.014
114.5870942,21.4171733,0.037,0.032,22.093,0.178,21.519,0.047,21.058,0.06,20.502,0.065
114.5871025,21.4334916,0.008,0.012,21.145,0.045,20.323,0.012,19.981,0.022,19.86,0.038
114.587155,21.5634137,0.006,0.003,16.913,0.005,16.553,0.002,16.434,0.004,16.418,0.003
114.5872507,21.3504442,0.017,0.014,21.184,0.05,20.933,0.028,20.657,0.041,20.565,0.043
114.5874582,21.5722107,0.004,0.01,17.137,0.003,16.773,0.001,16.649,0.006,16.633,0.002
114.5874811,21.3917375,0.019,0.01,21.87,0.09,20.935,0.033,20.007,0.023,19.638,0.029
114.5874843,21.5012578,0.012,0.012,21.166,0.069,20.277,0.01,19.919,0.015,19.739,0.042
114.5875123,21.8025446,0.01,0.003,20.453,0.02,20.113,0.011,19.904,0.018,19.751,0.039
114.5875215,21.5245983,0.004,0.008,17.886,0.006,17.255,0.005,17.026,0.004,16.915,0.003
114.5875406,21.5156859,0.004,0.01,21.549,0.028,20.264,0.013,19.634,0.012,19.391,0.017
114.587542,21.8795085,0.009,0.002,20.174,0.02,18.926,0.004,17.734,0.005,17.189,0.007
114.5875822,21.5335461,0.008,0.007,18.11,0.007,17.376,0.002,17.083,0.004,16.957,0.000592
