raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
8.868957,11.9358575,0.02,0.021,21.865,0.057,21.162,0.056,20.757,0.091,20.663,0.047,20.722,0.209
8.868959,11.9462803,0.029,0.031,22.526,0.005,21.4,0.059,21.046,0.076,20.866,0.096,20.671,0.182
8.8689644,12.1308627,0.015,0.008,21.946,0.056,20.827,0.017,19.945,0.009,19.505,0.037,19.344,0.055
8.8689657,12.2602433,0.003,0.004,19.9,0.015,18.782,0.006,17.739,0.022,17.216,0.013,16.992,0.014
8.8689657,11.3650135,0.026,0.02,22.064,0.199,21.331,0.056,20.758,0.046,20.518,0.059,20.247,0.32
8.8689697,11.5330919,0.02,0.015,20.941,0.041,20.346,0.033,20.144,0.036,20.072,0.069,19.869,0.026
8.8689709,12.0586805,0.01,0.011,20.898,0.031,20.659,0.012,20.431,0.011,20.462,0.049,20.643,0.171
8.8689783,12.0937342,0.011,0.01,21.855,0.109,20.808,0.015,20.289,0.019,20.028,0.042,19.729,0.053
8.8689891,11.7301385,0.005,0.005,20.037,0.016,19.635,0.008,19.449,0.007,19.375,0.012,19.376,0.045
8.868991,11.8329076,0.008,0.011,16.955,0.004,16.139,0.002,15.843,0.004,15.701,0.003,15.608,0.002
8.8690012,11.4521106,0.005,0.004,20.56,0.026,19.329,0.006,18.05,0.014,17.488,0.005,17.197,0.01
8.8690105,11.8029091,0.004,0.001,14.96,0.004,14.508,0.003,14.367,0.005,14.346,0.003,14.317,0.004
8.8690162,11.6163548,0.02,0.025,21.7,0.088,20.965,0.037,20.664,0.049,20.509,0.083,20.251,0.136
8.8690164,11.5791205,0.013,0.005,20.387,0.014,19.662,0.011,19.395,0.007,19.278,0.022,19.189,0.032
8.8690237,11.6226212,0.005,0.002,15.444,0.002,15.061,0.001,14.931,0.002,14.895,0.000981,14.857,0.003
8.8690238,11.6586485,0.003,0.004,16.959,0.003,16.142,0.002,15.8,0.003,15.644,0.003,15.523,0.005
8.8690259,12.2018021,0.017,0.019,21.835,0.101,20.813,0.045,20.479,0.027,20.233,0.048,19.851,0.051
8.8690313,11.9278986,0.004,0.01,13.413,-999,12.96,-999,12.77,-999,12.678,-999,12.631,0.002
8.8690447,11.3658036,0.009,0.009,21.677,0.076,20.269,0.033,19.771,0.028,19.566,0.056,19.348,0.069
8.8690516,12.0212603,0.007,0.008,20.07,0.009,19.706,0.011,19.608,0.01,19.576,0.023,19.522,0.045
8.8690527,11.6174471,0.005,0.008,20.974,0.022,19.695,0.007,18.64,0.006,18.158,0.004,17.918,0.013
8.8690616,11.8043668,0.04,0.018,13.936,0.000175,13.619,0.003,13.53,0.001,13.533,0.000529,13.525,0.000405
8.8690631,12.1327864,0.041,0.032,22.009,0.14,21.334,0.066,20.908,0.038,20.653,0.096,20.576,0.038
8.869076,11.9585617,0.009,0.013,21.788,0.084,20.349,0.02,19.829,0.022,19.587,0.013,19.388,0.061
8.8690863,11.7607247,0.035,0.029,21.36,0.083,20.997,0.045,20.782,0.036,20.395,0.128,20.302,0.141
8.8690883,11.912867,0.011,0.017,20.936,0.036,20.126,0.018,19.652,0.013,19.35,0.018,19.24,0.032
