raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
259.3084558,43.0976607,0.016,0.012,20.144,0.04,19.771,0.022,19.638,0.021,19.615,0.059,2.638
259.3084644,43.201645,0.016,0.025,21.419,0.035,21.011,0.033,20.86,0.022,20.716,0.063,4.097
259.3084784,43.140895,0.059,0.196,17.418,0.048,17.215,0.05,17.504,0.06,17.347,0.014,1.262
259.3085085,43.1611978,0.03,0.027,17.912,0.009,17.576,0.01,17.42,0.02,17.489,0.012,1.928
259.3085138,43.2226821,0.005,0.006,20.284,0.022,19.939,0.007,19.89,0.012,19.885,0.028,5.315
259.3085235,43.1127553,0.045,0.031,20.07,0.039,19.226,0.018,18.957,0.022,19.758,0,1.887
259.3085302,43.1112711,0.004,0.013,18.491,0.02,18.287,0.04,18.211,0.02,18.28,0.023,1.956
259.3085399,43.2116708,0.022,0.04,21.917,0.047,21.45,0.052,21.169,0.038,21.113,0.099,4.675
259.3085402,43.1464368,0.145,0.045,17.938,0.093,17.425,0.004,17.737,0.023,17.585,0.014,1.372
259.3085487,43.1057375,0.065,0.021,18.877,0.008,18.691,0.048,18.528,0.012,18.46,0.04,2.223
259.3085562,43.2062743,0.004,0.013,20.177,0.016,19.889,0.031,19.767,0.011,19.814,0.027,4.364
259.3085798,43.095341,0.008,0.006,16.18,0.01,15.785,0.006,15.534,0.007,15.469,0.007,2.764
259.3085805,43.1219737,0.089,0.039,18.228,0.012,18.231,0.336,17.972,0.028,17.813,0.023,1.515
259.3085859,43.1711559,0.032,0.063,18.99,0.017,18.714,0.012,18.655,0.019,18.787,0.063,2.419
259.3085934,43.2333006,0.013,0.012,21.419,0.094,20.9,0.048,20.728,0.026,20.696,0.03,5.937
259.3086096,43.1198936,0.063,0.045,18.481,0.067,18.786,-999,19.694,0.093,18.567,0,1.591
259.3086146,43.1909719,0.009,0.004,18.356,0.01,18.112,0.008,18.02,0.005,18.048,0.011,3.494
259.3086158,43.1302513,0.006,0.005,14.976,0.014,14.515,0.033,14.294,0.033,13.908,0.123,1.296
259.3086463,43.0771762,0.022,0.053,21.817,0.03,21.327,0.069,21.23,0.032,20.796,0.138,3.771
259.3086511,43.0720163,0.013,0.028,21.028,0.034,20.625,0.038,20.534,0.05,20.529,0.109,4.065
259.3086569,42.9188386,0.003,0.003,21.064,0.032,19.845,0.012,18.58,0.003,18.011,0.006,13.12
259.3086947,43.1153635,0.116,0.141,17.839,0.027,17.512,0.061,17.533,0.015,17.611,0.074,1.777
259.3086952,43.1766183,0.017,0.019,17.133,0.009,16.738,0.015,16.572,0.009,16.482,0.006,2.708
259.3087075,43.2027948,0.018,0.032,21.473,0.072,21.113,0.034,20.976,0.056,20.764,0.015,4.166
259.3087197,43.0529725,0.028,0.037,21.575,0.071,21.077,0.041,20.886,0.032,20.68,0.101,5.165
259.3087276,43.1995014,0.042,0.014,18.334,0.007,18.115,0.016,18.033,0.012,18.051,0.01,3.979
259.3087558,43.1035128,0.022,0.021,18.581,0.016,18.69,0.015,18.707,0.163,18.475,0.023,2.34
259.3087586,43.1390133,0.014,0.02,16.252,0.066,15.857,0.027,15.694,0.014,15.632,0.012,1.255
259.3087836,43.0589362,0.022,0.009,19.962,0.018,19.667,0.019,19.564,0.019,19.384,0.066,4.819
259.3087926,43.0693611,0.013,0.01,19.718,0.014,19.473,0.013,19.403,0.014,19.281,0.067,4.219
259.3088103,43.1338997,0.358,0.088,18.909,0.043,18.689,0.016,19.997,0.181,18.394,0.031,1.259
259.3088163,42.9655934,0.003,0.003,18.789,0.008,18.123,0.008,17.858,0.003,17.765,0.009,10.332
259.3088171,43.1486713,0.219,0.142,18.265,0.032,17.709,0.004,18.093,0.041,17.795,0.06,1.446
259.3088265,43.2258481,0.02,0.039,21.964,0.079,21.367,0.061,21.211,0.037,20.827,0.322,5.503
259.3088324,43.1795058,0.016,0.252,12.944,0.001,12.685,0.001,12.154,0.11,12.645,-999,2.866
259.30884,43.106886,0.019,0.032,18.806,0.004,18.726,0.032,18.435,0.015,18.47,0.042,2.174
259.3088429,43.1121298,0.01,0.015,19.976,0.032,19.646,0.016,19.313,0.058,19.546,0.071,1.925
259.3088506,43.165519,0.015,0.008,16.749,0.004,16.312,0.008,16.154,0.01,16.08,0.005,2.142
259.3088752,43.0681886,0.009,0.019,19.099,0.006,18.888,0.016,18.822,0.009,18.795,0.012,4.287
259.3088845,43.0899237,0.005,0.02,20.122,0.063,19.875,0.066,19.818,0.02,19.917,0.073,3.063
259.3088953,43.0983529,0.003,0.019,18.134,0.01,17.852,0.008,17.77,0.009,17.742,0.021,2.61
259.3089006,43.2037279,0.004,0.015,21.318,0.062,20.826,0.066,20.632,0.033,20.624,0.043,4.222
259.3089109,43.0096326,0.015,0.015,20.66,0.027,20.343,0.02,20.199,0.011,20.135,0.075,7.716
259.3089163,43.161972,0.01,0.013,16.536,0.01,16.089,0.022,15.928,0.007,15.815,0.009,1.975
259.308919,43.0918712,0.046,0.013,19.833,0.072,19.613,0.035,19.548,0.021,19.577,0.059,2.958
259.3089267,43.1676131,0.015,0.02,19.411,0.036,19.256,0.025,19.043,0.037,19.161,0.016,2.248
259.308928,43.0798197,0.013,0.02,20.977,0.029,20.623,0.019,20.599,0.028,20.27,0.024,3.626
259.3089323,43.0969253,0.015,0.035,19.884,0.039,19.479,0.072,19.532,0.031,19.557,0.003,2.686
259.308934,43.18345,0.008,0.021,18.599,0.006,18.357,0.005,18.272,0.037,18.32,0.006,3.082
259.3089421,43.1221098,0.103,0.13,18.105,0.007,17.707,0.007,17.663,0.202,17.549,0.015,1.524
259.3089596,43.1932046,0.01,0.015,20.864,0.051,20.408,0.03,20.332,0.023,20.335,0.093,3.625
259.3089661,43.0547257,0.002,0.011,20.168,0.024,19.899,0.015,19.816,0.01,19.754,0.037,5.066
259.3089713,43.1852906,0.007,0.014,19.299,0.015,19.028,0.022,18.917,0.01,18.875,0.037,3.184
259.3089927,43.1257878,0.063,0.055,18.772,0.017,18.605,0.131,17.521,0.022,18.088,0.01,1.412
259.3090123,43.1001935,0.113,0.122,20.873,0.091,20.355,0.031,20.221,0.031,20.118,0.094,2.516
